listing_id,date
14634076,4/26/17
14784214,4/26/17
15292817,4/26/17
15354236,4/26/17
15371998,4/26/17
15464986,4/26/17
15577130,4/26/17
15855343,4/26/17
15949936,4/26/17
16013999,4/26/17
16225766,4/26/17
16269392,4/26/17
16610326,4/26/17
16612557,4/26/17
17266710,4/26/17
17760004,4/26/17
17783689,4/26/17
18351730,4/26/17
1038791,4/25/17
1292916,4/25/17
2427717,4/25/17
2682808,4/25/17
2682808,4/25/17
2819412,4/25/17
3969576,4/25/17
6280548,4/25/17
7513572,4/25/17
7552929,4/25/17
7618448,4/25/17
8104534,4/25/17
8587634,4/25/17
8766126,4/25/17
9854143,4/25/17
10845191,4/25/17
12247552,4/25/17
12340596,4/25/17
12637515,4/25/17
13350400,4/25/17
14634076,4/25/17
15853340,4/25/17
15855343,4/25/17
16107337,4/25/17
16228171,4/25/17
16238598,4/25/17
16269392,4/25/17
16422012,4/25/17
16818256,4/25/17
17692002,4/25/17
17705145,4/25/17
2347414,4/24/17
3025379,4/24/17
6149034,4/24/17
6463582,4/24/17
6670508,4/24/17
7814882,4/24/17
8766126,4/24/17
8769507,4/24/17
8772155,4/24/17
10411697,4/24/17
10429341,4/24/17
10845191,4/24/17
11898838,4/24/17
12452412,4/24/17
12968887,4/24/17
13422873,4/24/17
13527996,4/24/17
14060986,4/24/17
14345431,4/24/17
14527835,4/24/17
14634076,4/24/17
15076348,4/24/17
15371998,4/24/17
16107337,4/24/17
16269392,4/24/17
16682067,4/24/17
17004023,4/24/17
17010097,4/24/17
18012645,4/24/17
116134,4/23/17
866701,4/23/17
891355,4/23/17
1038791,4/23/17
1108491,4/23/17
1328770,4/23/17
1405414,4/23/17
1534890,4/23/17
1808782,4/23/17
2069688,4/23/17
2194840,4/23/17
2427717,4/23/17
2433570,4/23/17
2507353,4/23/17
2522970,4/23/17
2819412,4/23/17
2819790,4/23/17
3540493,4/23/17
4178600,4/23/17
4322521,4/23/17
4592434,4/23/17
4733497,4/23/17
4985922,4/23/17
5047962,4/23/17
5223125,4/23/17
5578067,4/23/17
5695757,4/23/17
5702020,4/23/17
6183201,4/23/17
7262234,4/23/17
7298474,4/23/17
7342924,4/23/17
7614218,4/23/17
7618448,4/23/17
7909292,4/23/17
8104534,4/23/17
8514381,4/23/17
8587634,4/23/17
8836008,4/23/17
8865330,4/23/17
8877884,4/23/17
9063100,4/23/17
9194055,4/23/17
9444419,4/23/17
9487949,4/23/17
9790385,4/23/17
9809677,4/23/17
9913124,4/23/17
10170353,4/23/17
10220506,4/23/17
10743570,4/23/17
11007796,4/23/17
11649861,4/23/17
11677039,4/23/17
11859199,4/23/17
12238423,4/23/17
12340596,4/23/17
12576409,4/23/17
12734670,4/23/17
12746696,4/23/17
12864070,4/23/17
13263169,4/23/17
13730684,4/23/17
13799108,4/23/17
14649863,4/23/17
15122446,4/23/17
15270962,4/23/17
15577130,4/23/17
15855343,4/23/17
16107337,4/23/17
16225766,4/23/17
16753399,4/23/17
16835869,4/23/17
17011231,4/23/17
17470798,4/23/17
17692002,4/23/17
891355,4/22/17
2427717,4/22/17
2819412,4/22/17
3857702,4/22/17
3969576,4/22/17
5382509,4/22/17
5575185,4/22/17
7365174,4/22/17
8587634,4/22/17
8766126,4/22/17
8865330,4/22/17
8929714,4/22/17
9444009,4/22/17
10845191,4/22/17
12286985,4/22/17
12443915,4/22/17
13263169,4/22/17
14855524,4/22/17
15292817,4/22/17
16096485,4/22/17
16238598,4/22/17
16269392,4/22/17
17606004,4/22/17
116134,4/21/17
723033,4/21/17
1108491,4/21/17
4502646,4/21/17
6149034,4/21/17
6584668,4/21/17
8587634,4/21/17
9790385,4/21/17
12340596,4/21/17
12746696,4/21/17
12959452,4/21/17
14527835,4/21/17
15349356,4/21/17
15855343,4/21/17
16012017,4/21/17
16238598,4/21/17
16269392,4/21/17
16630701,4/21/17
17606004,4/21/17
17692002,4/21/17
1038791,4/20/17
1108491,4/20/17
2522970,4/20/17
4502646,4/20/17
7738154,4/20/17
8514381,4/20/17
8587634,4/20/17
8766126,4/20/17
8877884,4/20/17
9809677,4/20/17
9913124,4/20/17
10693965,4/20/17
12238423,4/20/17
12452412,4/20/17
15855343,4/20/17
16107337,4/20/17
17692002,4/20/17
2522970,4/19/17
7298474,4/19/17
9489437,4/19/17
9809677,4/19/17
9809688,4/19/17
9911810,4/19/17
10845191,4/19/17
12959452,4/19/17
13350400,4/19/17
17783689,4/19/17
1292916,4/18/17
2522970,4/18/17
4502646,4/18/17
5223125,4/18/17
7513572,4/18/17
8766126,4/18/17
9911810,4/18/17
9913124,4/18/17
10743570,4/18/17
12215914,4/18/17
16107337,4/18/17
866701,4/17/17
1328770,4/17/17
1585405,4/17/17
1808782,4/17/17
2059774,4/17/17
2069688,4/17/17
2194840,4/17/17
2819790,4/17/17
3025379,4/17/17
3969576,4/17/17
4322521,4/17/17
4480525,4/17/17
5345806,4/17/17
5578067,4/17/17
6149034,4/17/17
6280548,4/17/17
6418099,4/17/17
6584668,4/17/17
7262234,4/17/17
7298474,4/17/17
7427332,4/17/17
7618448,4/17/17
7814882,4/17/17
8360000,4/17/17
8587634,4/17/17
8599666,4/17/17
8836008,4/17/17
8929714,4/17/17
9193370,4/17/17
9194055,4/17/17
9790385,4/17/17
9854143,4/17/17
10050755,4/17/17
11149337,4/17/17
11205171,4/17/17
12452412,4/17/17
12659772,4/17/17
12746696,4/17/17
12862721,4/17/17
12959452,4/17/17
13730684,4/17/17
14060986,4/17/17
14345431,4/17/17
14798944,4/17/17
15559101,4/17/17
15577130,4/17/17
15853340,4/17/17
15855343,4/17/17
16036573,4/17/17
16225766,4/17/17
16238598,4/17/17
16835869,4/17/17
17011231,4/17/17
